countryname,state_emp_now,occupation,public_educators,public_health_professionals,state_career,DemocracySupport,InstitutionSupport,Democracy,Education,Occupation,MiddleClass,Age,age2,Gender,Expenditures,IncDist,FreeMarket_Support,stateemployment,state_assistance,state_emp_middleclass
albania,0,,,,,0.0,1,0,0.0,,0.0,74.0,5476.0,1,70.0,1.0,0.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,0.0,1,0,1.0,0.0,0.0,65.0,4225.0,1,142.6667,5.0,1.0,,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,1.0,1,1,0.0,1.0,0.0,64.0,4096.0,1,146.0,5.0,0.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,38.0,1444.0,1,329.0476,5.0,1.0,,0.0,0.0
albania,0,,,,,0.0,0,0,0.0,,0.0,83.0,6889.0,1,59.16667,3.0,0.0,,0.0,0.0
albania,1,education,1.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,51.0,2601.0,1,318.0,5.0,0.0,,0.0,1.0
albania,1,mining and quarrying,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,52.0,2704.0,1,212.0,4.0,1.0,0.0,0.0,1.0
albania,1,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,54.0,2916.0,1,426.0,5.0,0.0,,0.0,1.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,0.0,1,0,1.0,0.0,0.0,58.0,3364.0,1,418.8,6.0,1.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,49.0,2401.0,1,140.0,5.0,0.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,54.0,2916.0,1,75.34883,2.0,0.0,,1.0,0.0
albania,1,"electricity, gas and water supply",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,50.0,2500.0,1,476.5,5.0,1.0,,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,1.0,1,1,0.0,1.0,0.0,51.0,2601.0,1,356.0,4.0,1.0,1.0,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,70.0,4900.0,1,146.0606,6.0,1.0,,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,0.0,1,0,0.0,1.0,0.0,63.0,3969.0,1,256.0,6.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,54.0,2916.0,1,211.0,5.0,1.0,,0.0,0.0
albania,0,hotels and restaurants,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,48.0,2304.0,1,266.7742,5.0,1.0,0.0,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,43.0,1849.0,1,236.9565,6.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,65.0,4225.0,1,448.5714,7.0,0.0,,0.0,0.0
albania,0,extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,67.0,4489.0,1,263.3333,5.0,1.0,0.0,0.0,0.0
albania,1,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,48.0,2304.0,1,273.4783,5.0,1.0,,0.0,0.0
albania,1,"agriculture, hunting and forestry",0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,38.0,1444.0,1,109.5238,2.0,0.0,,0.0,0.0
albania,0,,,,,1.0,1,1,0.0,,0.0,48.0,2304.0,1,81.42857,4.0,1.0,,0.0,0.0
albania,0,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,51.0,2601.0,1,175.5,5.0,1.0,0.0,0.0,0.0
albania,1,mining and quarrying,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,47.0,2209.0,0,361.0,3.0,0.0,,1.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,0.0,1,0,1.0,1.0,1.0,47.0,2209.0,0,1100.0,5.0,0.0,1.0,0.0,1.0
albania,0,"wholesale and retail trade; repair of motor vehicles, motorcycles, personal and household goods",0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,84.0,7056.0,1,254.0,6.0,1.0,0.0,0.0,0.0
albania,1,health and health work,0.0,1.0,0.0,1.0,1,1,1.0,1.0,1.0,43.0,1849.0,1,233.8462,4.0,0.0,1.0,0.0,1.0
albania,1,manufacturing,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,34.0,1156.0,1,398.0,5.0,1.0,0.0,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,0,0,1.0,1.0,1.0,71.0,5041.0,1,322.4,5.0,1.0,1.0,0.0,1.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.0,52.0,2704.0,1,272.0,7.0,0.0,1.0,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,36.0,1296.0,1,336.6667,5.0,1.0,,0.0,0.0
albania,0,,,,,1.0,1,1,1.0,,,71.0,5041.0,1,153.3333,4.0,1.0,,0.0,
albania,0,hotels and restaurants,0.0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,54.0,2916.0,1,389.6,4.0,1.0,1.0,0.0,0.0
albania,1,"transport, communications",0.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,69.0,4761.0,1,414.2857,5.0,1.0,,0.0,0.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,1.0,1.0,1.0,69.0,4761.0,0,280.0,5.0,1.0,,0.0,1.0
albania,1,education,1.0,0.0,0.0,1.0,1,1,1.0,1.0,1.0,74.0,5476.0,1,272.0,5.0,1.0,,0.0,1.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,1.0,1,1,1.0,1.0,1.0,73.0,5329.0,1,732.6667,8.0,1.0,,0.0,1.0
albania,1,"public administration, military, social security",0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,51.0,2601.0,1,272.0,6.0,0.0,,0.0,0.0
albania,1,manufacturing,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,45.0,2025.0,1,126.9231,5.0,0.0,0.0,0.0,0.0
